Disease,Symptoms,Type
Measles,"rash, runny nose, cough, fever",Normal
Acne,"oily skin, blackheads, inflammation, pimples",Normal
Polycystic Kidney Disease,back pain,Serious
Drug Eruption,rash after taking medication,Serious
Glaucoma,"eye pain, halo lights, blurred vision",Serious
Onychomycosis,"yellowed nails, thickened",Normal
Stevens-Johnson Syndrome,flu symptoms and severe rash,Critical
Melanoma,"mole changes, bleeding, itching, dark spots",Critical
Arrhythmia,"dizziness, fatigue, irregular heartbeat",Serious
Perioral Dermatitis,small red bumps around mouth,Normal
Balanitis,"swelling, redness of the penis tip",Normal
Norovirus,"stomach cramps, vomiting",Normal
Rotator Cuff Tear,"shoulder weakness, pain lifting arm",Normal
Plague (Septicemic),"bleeding, fever, chills",Critical
Hantavirus,"fever, shortness of breath, muscle aches",Critical
Kidney Cancer,"weight loss, blood in urine",Critical
Leptospirosis,"headache, jaundice",Serious
Frostbite,numbness,Serious
Avascular Necrosis,"limited range of motion, joint pain",Serious
Kidney Failure,"decreased urination, swelling, fatigue",Critical
Trigger Finger,finger stuck in bent position,Normal
Conjunctivitis (Pink Eye),"discharge, tearing, itching, redness",Normal
Sleeping Sickness,"fever, joint pain, sleep disruption",Critical
Periodontitis,"receding gums, loose teeth",Serious
Tendonitis,"stiffness, pain, swelling",Normal
Buerger's Disease,"skin ulcers, pain in hands/feet",Serious
Spina Bifida,"visible gap in spine, weakness",Serious
Vitamin B12 Deficiency,tongue soreness,Normal
Anthrax (Cutaneous),skin sore with black center,Serious
Melanoma,"bleeding, dark spots, itching, mole changes",Critical
Lymphedema,swelling in arms or legs,Serious
Torticollis,"head tilted to side, twisted neck",Normal
Sepsis,"high heart rate, confusion, fever, shivering",Critical
Trigger Finger,finger stuck in bent position,Normal
Tinea Versicolor,discolored skin patches,Normal
Shigellosis,"fever, bloody diarrhea, stomach pain",Serious
Tourette Syndrome,"vocal tics, repetitive movements",Normal
Trigger Finger,finger stuck in bent position,Normal
Heartburn,"burning chest pain, sour taste",Normal
Addison Disease,"fatigue, low blood pressure, weight loss",Serious
Food Poisoning,"diarrhea, vomiting, nausea, stomach cramps",Normal
Liver Cancer,fatigue,Critical
Lordosis,excessive inward curve of lower back,Normal
IBS,"constipation, bloating, diarrhea, stomach cramps",Normal
Anaphylaxis,"swelling, hives, difficulty breathing",Critical
Sciatica,"tingling, leg pain, lower back pain, numbness",Normal
Cat Scratch Disease,"bump at site, swollen nodes",Normal
Hantavirus,"muscle aches, fever, shortness of breath",Critical
Dandruff,"itchy scalp, white flakes",Normal
Smallpox,"pustules on skin, fatigue",Critical
Cellulitis,"fever, redness, pain, swelling",Serious
Telogen Effluvium,temporary hair thinning,Normal
Plague,"swollen lymph nodes, cough",Critical
Genital Warts,small bumps in genital area,Serious
Postpartum Depression,"sadness after childbirth, fatigue",Serious
Eczema,itching,Normal
Paronychia,redness and swelling around nail,Normal
Scarlet Fever,"red rash, strawberry tongue, sore throat",Serious
Esophageal Cancer,"chest pain, difficulty swallowing, weight loss",Critical
Dermatitis Herpetiformis,very itchy blisters on elbows/knees,Serious
Bad Breath (Halitosis),persistent mouth odor,Normal
Botulism,"drooping eyelids, double vision, paralysis",Critical
Gouty Arthritis,"redness, sudden intense joint pain",Serious
Stasis Dermatitis,skin changes from poor circulation,Normal
Skin Tags,small flesh-colored growths,Normal
Laryngitis,"dry cough, hoarseness, sore throat, voice loss",Normal
Coronary Artery Disease,"fatigue, shortness of breath",Serious
Diarrhea,"loose stools, urgency, stomach cramps",Normal
Lipoma,soft fatty lump under skin,Normal
Bronchitis,"fatigue, mucus, wheezing, chest discomfort, persistent cough",Normal
Spider Bite,"two puncture marks, pain, swelling",Normal
Hives,"itchy welts, swelling, skin redness",Normal
Granuloma Annulare,reddish bumps in a ring,Normal
Sunburn,"peeling, red skin, pain, blistering",Normal
Borderline Personality,"unstable moods, relationship issues",Serious
Heart Attack,"shortness of breath, sweating, nausea, chest pain",Critical
Polyarteritis Nodosa,"fever, skin sores, joint pain",Serious
Hydrocele,swelling in the scrotum,Normal
Flat Feet,entire sole touches floor,Normal
Heat Stroke,"confusion, rapid pulse",Critical
Muscle Strain,"pain, swelling, stiffness, weakness",Normal
Postpartum Depression,"sadness after childbirth, fatigue",Serious
Substance Abuse Disorder,"addiction, behavior changes, withdrawal",Serious
Periodontitis,"receding gums, loose teeth",Serious
Liver Cirrhosis,"jaundice, fatigue, fluid buildup",Critical
Giardiasis,"nausea, gas, diarrhea, stomach cramps",Normal
Glanders,"fever, chest pain, muscle aches",Serious
Schistosomiasis,abdominal pain,Serious
Torticollis,"twisted neck, head tilted to side",Normal
Avascular Necrosis,"limited range of motion, joint pain",Serious
Fatty Liver Disease,"pain in upper right abdomen, fatigue",Serious
Blister,fluid-filled pocket on skin,Normal
Sunburn,"pain, blistering, peeling",Normal
Botulism,"double vision, drooping eyelids, paralysis",Critical
Beriberi,"limb pain, shortness of breath, weakness",Serious
Chikungunya,joint pain,Serious
Rocky Mountain Spotted Fever,"fever, headache",Serious
Pancreatic Cancer,"back pain, fatigue, weight loss",Critical
Dupuytren's Contracture,fingers pulled toward palm,Normal
Neck Pain,"pain, headaches, neck stiffness",Normal
PMS,bloating,Normal
Septic Arthritis,"swelling, joint pain, fever",Critical
Fibromyalgia,"muscle pain, sleep problems",Normal
Listeriosis,stiff neck,Serious
Erysipelas,"raised red skin rash, fever",Serious
Stuttering,"repetition of sounds, speech blocks",Normal
Zika Virus,"red eyes, fever, rash",Normal
Color Blindness,difficulty seeing certain colors,Normal
Bipolar Disorder,"mood swings, mania, depression",Serious
Agoraphobia,fear of places where escape is hard,Serious
Candidiasis,yeast infection symptoms,Normal
Gallstones,"vomiting, indigestion, nausea, abdominal pain",Normal
Diabetes,"frequent urination, fatigue, increased thirst",Serious
Herpes Simplex Type 1,cold sores around mouth,Normal
MERS,"cough, fever, shortness of breath",Critical
Erythrasma,red-brown skin patches,Normal
Brain Tumor,"seizures, nausea, vision problems, headache",Critical
Cholera,"weakness, vomiting, severe diarrhea",Serious
Rosacea,visible blood vessels,Normal
Shigellosis,"fever, bloody diarrhea",Serious
Urticaria,"hives, swelling, redness",Normal
Melasma,brown patches on face,Normal
Peripheral Artery Disease,"numbness, cold limbs, weakness, leg pain",Serious
Miliaria (Heat Rash),small itchy bumps from sweat,Normal
Rheumatoid Arthritis,"joint pain, fatigue, swelling",Serious
Scoliosis,"uneven shoulders, curved spine, back pain",Serious
Myasthenia Gravis,"muscle weakness, drooping eyelids, double vision",Serious
Fixed Drug Eruption,recurring rash in same spot,Normal
Meningitis,"headache, sensitivity to light, fever",Critical
Ingrown Toenail,"pain, redness",Normal
Hypothermia,"shivering, slurred speech, slow breathing",Critical
Scarlet Fever,red rash,Serious
Gas and Bloating,"flatulence, abdominal pressure",Normal
Jock Itch,"redness in groin area, itching",Normal
Rotavirus,"vomiting, watery diarrhea",Normal
Plantar Wart,"pain while walking, hard growths on soles",Normal
Anal Fissure,"bleeding, pain during bowel movements",Normal
Type 2 Diabetes,"fatigue, blurred vision, slow healing",Serious
ADHD,"hyperactivity, impulsiveness",Normal
Ascariasis,"abdominal pain, cough",Serious
Varicose Veins,"swollen veins, leg pain, itching",Normal
Cirrhosis,"confusion, swelling, jaundice, weight loss, fatigue",Critical
Gastritis,"vomiting, bloating, stomach pain, indigestion, nausea",Normal
Fifth Disease,fever,Normal
Venous Ulcers,open sores on lower legs,Serious
Whiplash,neck pain,Normal
Cushing Syndrome,"weight gain, muscle weakness, fatigue",Serious
Stretch Marks,lines on skin from rapid growth,Normal
Erysipelas,"fever, raised red skin rash",Serious
Spina Bifida,"visible gap in spine, weakness",Serious
Rabies,"confusion, fever, hydrophobia, anxiety",Critical
Tinnitus,"buzzing, clicking, ringing in ears",Normal
Bed Bug Bites,itchy red bumps in a line,Normal
Fleabites,small itchy red bumps on ankles,Normal
Lichen Planus,"purple flat bumps, itching",Normal
Osteoporosis,"fractures, bone weakness, back pain",Serious
Plantar Wart,"pain while walking, hard growths on soles",Normal
Chikungunya,"fatigue, fever, joint pain",Serious
Tularemia,"swollen glands, fever, skin ulcers",Serious
Dementia,"behavior changes, confusion, memory loss",Serious
Mono (Mononucleosis),"fatigue, swollen lymph nodes, sore throat",Normal
Hyperthyroidism,"anxiety, palpitations, weight loss, sweating",Serious
Hemophilia,"excessive bleeding, easy bruising, joint pain",Critical
Liver Cancer,"weight loss, fatigue, jaundice, abdominal pain",Critical
Acromegaly,"enlarged hands, facial changes, fatigue",Serious
Hypothermia,"shivering, slow breathing",Critical
Pinta,discolored skin patches,Normal
Plantar Wart,"pain while walking, hard growths on soles",Normal
Muscle Cramp,sudden painful muscle contraction,Normal
Sweet Syndrome,fever and painful skin lesions,Serious
Acromegaly,"enlarged hands, fatigue",Serious
Hydrocele,swelling in the scrotum,Normal
Carpal Tunnel Syndrome,"tingling, weakness",Normal
Listeriosis,"stiff neck, muscle aches, fever",Serious
Bruxism,"jaw pain, teeth grinding",Normal
Ulcerative Colitis,abdominal pain,Serious
Urticaria,"swelling, hives, redness, itching",Normal
Carbuncle,pain,Serious
Aortic Aneurysm,shortness of breath,Critical
Gonorrhea,"testicular pain, discharge, painful urination",Serious
Obesity,"weight gain, breathlessness, fatigue, joint pain",Normal
Sciatica,"leg pain, numbness, tingling, lower back pain",Normal
Herniated Disc,"numbness, leg pain, back pain",Serious
Herpangina,small ulcers in back of throat,Normal
Spider Bite,"two puncture marks, swelling, pain",Normal
Reye's Syndrome,"seizures, vomiting, confusion",Critical
Pressure Sores (Bedsores),skin breakdown from prolonged pressure,Serious
Plague (Pneumonic),"bloody sputum, fever, cough",Critical
Metabolic Syndrome,"weight gain, fatigue, high blood pressure",Serious
Anthrax (Cutaneous),skin sore with black center,Serious
Herniated Disc,"numbness, leg pain",Serious
Sleepwalking,"no memory, walking while asleep",Normal
Port-Wine Stain,dark red/purple birthmark,Normal
Lice,"visible bugs, itching on scalp",Normal
Heat Rash,"small red bumps, prickly sensation",Normal
Fibromyalgia,"fatigue, sleep problems, muscle pain",Normal
Diabetic Retinopathy,"blurred vision, eye pain",Serious
Toxic Epidermal Necrolysis,widespread skin peeling,Critical
Hidradenitis Suppurativa,painful lumps in armpits/groin,Serious
Scarlet Fever,"red rash, sore throat, strawberry tongue",Serious
Polycystic Kidney Disease,"blood in urine, back pain, high blood pressure",Serious
Dengue Fever,"joint pain, severe headache, high fever, rash",Serious
Hypothyroidism,"dry skin, fatigue, cold intolerance, weight gain",Normal
Erythrasma,red-brown skin patches,Normal
Morton's Neuroma,"toe pain, feeling of pebble in shoe",Normal
Narcissistic Personality,"need for admiration, lack of empathy",Serious
Psoriasis,plaques,Normal
Color Blindness,difficulty seeing certain colors,Normal
Rheumatic Fever,"fever, chest pain, joint pain",Serious
Liver Cirrhosis,"fluid buildup, jaundice",Critical
Athlete's Foot,"redness on feet, scaling",Normal
Salmonellosis,stomach cramps,Normal
Schistosomiasis,"abdominal pain, blood in urine/stool",Serious
Heat Rash,small red bumps,Normal
Fibromyalgia,"sleep problems, muscle pain, fatigue",Normal
Hiatal Hernia,"chest pain, difficulty swallowing, heartburn",Serious
Glanders,"chest pain, fever, muscle aches",Serious
Encephalitis,"seizures, confusion, fever, headache",Critical
Necrotizing Fasciitis,"redness, skin death, intense pain",Critical
Giardiasis,"diarrhea, stomach cramps, nausea, gas",Normal
Sleep Apnea,"breathing pauses during sleep, headache, snoring, fatigue",Serious
Osteoarthritis,"swelling, joint pain",Normal
Presbyopia,age-related near vision loss,Normal
Chickenpox,"fatigue, fever, loss of appetite",Normal
Ascariasis,"worms in stool, cough, abdominal pain",Serious
Ingrown Toenail,"pain, swelling at nail corner, redness",Normal
Boils (Furuncles),painful pus-filled bumps,Normal
Dissociative Identity,presence of multiple personalities,Serious
Tinea Corporis,body ringworm,Normal
Epilepsy,"staring spells, confusion, seizures",Serious
Leprosy,"skin lesions, numbness, muscle weakness",Serious
Drug Eruption,rash after taking medication,Serious
Gout,"redness, swelling, tenderness, joint pain",Normal
Vitiligo,"patches, loss of skin color",Normal
Pyoderma Gangrenosum,large painful skin ulcers,Critical
Urinary Tract Infection,"cloudy urine, burning urination",Normal
Turner Syndrome,"heart defects, short stature",Serious
Scurvy,"bruising, bleeding gums, weakness",Serious
Pneumonia,"fever, difficulty breathing, cough, chest pain, fatigue",Serious
Shigellosis,stomach pain,Serious
Chikungunya,"rash, fatigue, fever, joint pain",Serious
Fungal Infection,"itching, irritation, scaling",Normal
Dry Mouth (Xerostomia),"sticky feeling, dry throat",Normal
Buerger's Disease,"pain in hands/feet, skin ulcers",Serious
Relapsing Fever,"recurring fever, headache, muscle pain",Serious
Miliaria (Heat Rash),small itchy bumps from sweat,Normal
Swine Flu,"cough, body aches, fever, sore throat",Serious
Eating Disorder,"food restriction, weakness",Serious
Typhoid Fever,"headache, high fever, weakness",Serious
Shin Splints,pain along the shin bone,Normal
Tourette Syndrome,"vocal tics, repetitive movements, motor tics",Normal
Bacterial Vaginosis,"itching, grayish discharge",Normal
Ganglion Cyst,"lump on wrist or hand, pain",Normal
Sepsis,"confusion, fever, shivering, high heart rate",Critical
Myopathy,"fatigue, pain, muscle weakness",Serious
Cerebral Palsy,"stiffness, movement issues, poor coordination",Serious
Candidiasis,yeast infection symptoms,Normal
Flat Warts,smooth small skin-colored warts,Normal
Hypertrophic Scars,raised red scars within injury site,Normal
Hyperglycemia,"high blood sugar, headache, thirst",Serious
Ebola,"bleeding, weakness, fever, vomiting",Critical
Hypertrophic Scars,raised red scars within injury site,Normal
Wegener's Granulomatosis,"sinus pain, kidney issues",Serious
Avascular Necrosis,"limited range of motion, joint pain",Serious
MERS,"cough, shortness of breath, fever",Critical
Hemorrhoids,"itching, rectal pain, bleeding",Normal
Endometriosis,"painful periods, pelvic pain, infertility",Serious
Liver Cirrhosis,"fatigue, fluid buildup",Critical
